Waypoint,Is_Keypoint
C00010695,0
C00010694,1
C00010693,0
C00010692,1
C00010691,0
C00010690,0
C00010689,0
C00010688,0
C00010687,0
C00010686,0
C00010685,0
C00010684,0
C00010683,1
C00010682,0
C00010681,0
C00010680,1
C00010679,0
C00010678,0
C00010677,0
C00010676,0
C00010675,0
C00010674,0
C00010673,0
C00010672,1
C00010671,1
C00010670,0
C00010669,0
C00010668,0
C00010667,0
C00010666,0
C00010665,0
C00007082,0
C00007081,1
C00010664,0
C00007079,0
C00007078,0
C00007077,0
C00007076,0
C00007075,1
C00007074,0
C00007073,0
C00007072,0
C00007071,1
C00007070,0
C00007069,0
C00007068,1
C00007067,0
C00007066,0
C00007065,0
C00007064,0
C00007063,1
C00007062,0
C00010663,1
C00007060,1
C00007059,1
C00010662,0
C00010661,0
C00010660,1
C00010659,0
C00010658,0
C00010657,1
C00010656,1
C00010655,0
C00010654,1
C00010653,0
C00010652,1
C00010651,1
C00010650,0
C00010649,0
C00010648,1
C00010647,1
C00010646,0
C00010645,0
C00010644,0
C00010643,0
C00010642,0
C00010641,0
C00010640,1
C00010639,0
C00010638,0
C00010637,0
C00010636,0
C00010635,0
C00010634,1
C00010633,0
C00010632,0
C00010631,0
C00010630,0
C00010629,0
C00010628,0
C00010627,1
C00010626,0
C00010625,0
C00010624,0
C00010623,0
C00010622,0
C00010621,0
C00010620,0
C00010619,1
C00010618,0
C00010617,0
C00010616,0
C00010615,0
C00010614,0
C00010613,0
C00010612,1
C00010611,0
C00010610,0
C00010609,0
C00010608,0
C00010607,0
C00010606,0
C00010605,1
C00010604,0
C00010603,0
C00010602,0
C00010601,0
C00010600,0
C00010599,0
C00010598,0
C00010597,0
C00010596,0
C00010595,0
C00010594,0
C00010429,1
C00010430,0
C00010431,0
C00010432,0
C00010433,0
C00010434,0
C00010435,0
C00010436,0
C00010437,0
C00010438,0
C00010439,0
C00010440,0
C00010441,0
C00010442,1
C00010443,0
C00010444,0
C00010445,0
C00010446,0
C00010447,0
C00010448,0
C00010449,0
C00010450,0
C00010451,0
C00010452,0
C00010453,0
C00010454,0
C00010455,0
C00010456,0
C00010457,0
C00010458,0
C00010459,0
C00010460,1
C00010461,0
C00010462,0
C00010463,0
C00010464,1
C00010465,0
C00010466,1
